,screen_name,state
504,Kennyphilem2,Manipur
506,RShamulailatpam,Manipur
509,amirkha02372631,Manipur
512,JayantakumarN,Manipur
513,SirajAh55817205,Manipur
514,WithCongBihar,Bihar
518,BandanaGurumayu,Manipur
519,ThangsoBaite,Manipur
520,tongkhokaibaite,Manipur
522,BirenLongjam,Manipur
524,PYCManipur,Manipur
525,kushwaha_pravin,Bihar
532,JitinPrasada,Meghalaya
533,INCMeghalaya,Meghalaya
535,richardmarak,Meghalaya
536,AlamTauquirJNU,Bihar
537,MeghalayaPMC,Meghalaya
541,IYCMeghalaya,Meghalaya
542,ShiraMiani,Meghalaya
547,santoshimaadpur,Bihar
550,BansharailangP,Meghalaya
552,INC_Meghalaya,Meghalaya
558,HarribabuVemu,Andhra Pradesh
559,Anilcong90,Bihar
560,awpi_chawngthu,Mizoram
561,INCMizoram,Mizoram
562,MizoramPMC,Mizoram
563,INC_Mizoram,Mizoram
569,INCNagaland,Nagaland
570,kamranYC,Bihar
574,NagalandPMC,Nagaland
575,SevadalNL,Nagaland
577,kewekhapetherie,Nagaland
579,INC_Nagaland,Nagaland
581,Jaeya_Mishr,Bihar
584,NagaViktor,Nagaland
585,HimahitoChishi,Nagaland
586,NPYC5,Nagaland
592,goshpurkothi,Bihar
593,KSRathoreINC,To Be Added
594,SangmaZenith,To Be Added
603,AmitaBhushan1,Bihar
614,VidyaNandMishr8,Bihar
625,ranjeet_inc,Bihar
636,KrishanKantJha8,Bihar
647,inc_sanjeev,Bihar
658,rckhuntia,Bihar
669,INCWestGodavari,Andhra Pradesh
670,bhawanajha_inc,Bihar
681,MadhurendraINC,Bihar
692,KaukabQuadari,Bihar
703,ArshadBihar,Bihar
714,ManiishYdv,Bihar
725,minnatrahmani,Bihar
736,Santosh78909000,Bihar
747,SantoshSevadal,Bihar
758,INC______,Bihar
769,BiharYuvaCong,Bihar
780,JyothiRamakris3,Andhra Pradesh
781,Gop_krishan,Bihar
803,viramchaubey,Bihar
814,PccBihar,Bihar
825,drnesarhaider,Bihar
836,Jitendr14272284,Bihar
847,KumarGautamINC,Bihar
858,navneetcong,Bihar
869,sarfraz_rinku,Bihar
880,WithRKY,Bihar
892,Priyabrata2014,Bihar
903,BPCCITCell,Bihar
914,amadhab,Bihar
925,syed_tanwir,Bihar
936,abhishekjha833,Bihar
947,Rakeshhajipur,Bihar
958,prakashintuc,Bihar
969,ASRJPT,Bihar
980,sudipsuman85,Bihar
991,ashisht96318,Bihar
1003,manojsinghmla,Bihar
1014,rashida96025536,Bihar
1025,jha_sunaina,Bihar
1036,PrabhakarNsui,Bihar
1047,kripa_shahi,Bihar
1058,AshuPatna1986,Bihar
1069,AshokSi08117816,Bihar
1080,AslamHu01434523,Bihar
1091,abutameem_inc,Bihar
1102,KhuramArariaINC,Bihar
1113,KuldeepSharmaMP,Andaman and Nicobar Islands
1115,ejazINC,Bihar
1126,INCAnilJha,Bihar
1137,kumarrohitpatna,Bihar
1148,SSSINGHDHIRAJ,Bihar
1170,INC_Bihar,Bihar
1181,AshutoshNSUI,Bihar
1192,dwivedidinesh11,Bihar
1203,SarjanSinghINC,Bihar
1214,modassir_shams,Bihar
1226,NawalyadavMLC,Bihar
1237,RavishanINC,Bihar
1248,JyotiKsingh4,Bihar
1259,Tribhuwan_NSUI,Bihar
1270,afzalmzpr,Bihar
1281,AskOurPM,Bihar
1303,ratikant_jha,Bihar
1314,bantychoudharyy,Bihar
1337,singhvinodbpcc1,Bihar
1348,SubodhKPaswan,Bihar
1370,sevadal_ara,Bihar
1381,incsantoshmishr,Bihar
1392,sinhark3,Bihar
1403,rakeshkguptaINC,Bihar
1414,AhamadBhallu,Bihar
1425,sevadalKIR,Bihar
1436,NSUIMadhubani,Bihar
1448,imhariChotiHari,Bihar
1459,inctariqanwar,Bihar
1470,tanweerabu05,Bihar
1481,hariom_ravishek,Bihar
1492,BuxarCongress,Bihar
1514,adityaNSUIBIHAR,Bihar
1525,bipinraj444,Bihar
1536,sevadalGOP,Bihar
1547,Rajkamal_INC,Bihar
1559,Jamalpur_Khadia,Bihar
1570,AdityaSinRajput,Bihar
1581,sevadalJEB,Bihar
1592,Birendr00745223,Bihar
1603,Arvind_INC,Bihar
1614,karankumarpappu,Bihar
1625,chand_manzar,Bihar
1636,Babujan2013,Bihar
1647,Shambhuriga,Bihar
1658,Pankajk81352235,Bihar
1670,bhawana_jha,Bihar
1681,1958asingh,Bihar
1692,kumargyanendraj,Bihar
1703,INCJAGDISHPUR,Bihar
1714,PathakKripanath,Bihar
1725,alokpandey12490,Bihar
1736,MdArfarajShahil,Bihar
1745,americai,To Be Added
1747,sevadalBUX,Bihar
1750,SupriyaShrinate,To Be Added
1753,bbhavyabishnoi,To Be Added
1758,pankajk9313082,Bihar
1762,SunilAh64145529,To Be Added
1769,NasimRezaNSUI,Bihar
1770,DrJayakumarMP,To Be Added
1781,Prabhat66861997,Bihar
1792,SanjayS00959183,Bihar
1803,Sheohar_INC,Bihar
1825,Sarfara85783785,Bihar
1831,tshamsi88,Odisha
1832,INCOdisha,Odisha
1836,ervivekchauhan,Bihar
1839,NPatnaikOdisha,Odisha
1847,satyendra_49200,Bihar
1858,nabenujha1,Bihar
1861,IYCOdisha,Odisha
1869,Santosh42859522,Bihar
1880,vivekkumariyc,Bihar
1888,prasadHofficial,Odisha
1892,Naveeniycsonpu1,Bihar
1893,Biswaranjaniyc,Odisha
1903,PRABHAK22137678,Bihar
1914,ImranAlliKhan8,Bihar
1924,niharINC,Odisha
1925,SANJAYS00170464,Bihar
1936,muzaffarpur_Lyc,Bihar
1944,WithCongOdisha,Odisha
1946,MahanandaINC,Odisha
1947,SiddharthKshat3,Bihar
1951,OdishaPMC,Odisha
1955,Sucharita4Puri,Odisha
1957,BHAKTACHARANDAS,Odisha
1958,MoniPaswan12,Bihar
1961,bhalubh55,Odisha
1962,Abhilash_INC,Odisha
1965,smrutirlenka,Odisha
1969,mzabi05,Bihar
1979,NSUIOdisha,Odisha
1980,AslamAl16306113,Bihar
1989,SevadalOR,Odisha
1991,SevaDalBGS,Bihar
1998,chiranjibinc,Odisha
2001,BAPISARKHEL,Odisha
2003,drUmaPandey,Bihar
2005,SambitSrichand1,Odisha
2011,Nishikanta11,Odisha
2014,BrajeshPandey3,Bihar
2025,ZahirMirza6,Bihar
2031,LMoharathyIYC,Odisha
2032,sashmita_,Odisha
2036,faiyaz_nsui,Bihar
2040,ritugarabadu,Odisha
2041,tapaswi111,Odisha
2045,pmbbsr74,Odisha
2047,dewendragpg,Bihar
2048,iammdmoquim,Odisha
2053,GopalKMohapat91,Odisha
2058,Mukulkumar9576,Bihar
2064,DeepakG49902744,To Be Added
2069,Ramanuj43951375,Bihar
2070,AnilNagariya,Odisha
2075,kailasacharya,Odisha
2087,jayadevjenainc,Odisha
2091,NSUI_Khagaria,Bihar
2102,HiraKumar4,Bihar
2103,INC_Odisha,Odisha
2104,AdityaSharmaINC,To Be Added
2111,pksharmaINC,Odisha
2114,SanjayR99847445,Bihar
2115,ad_aitihya,Odisha
2118,manoj_mohapatra,Odisha
2123,gyanendramohant,Odisha
2125,aakashyadav235,Bihar
2126,opcc_adivasi,Odisha
2128,shivpuri_vijay,Odisha
2134,incsashmita,Odisha
2136,IncShubham,Bihar
2137,SanjayBarik_INC,Odisha
2138,ChintuDash4,Odisha
2143,PintuPadhi2,Odisha
2145,KishorePatel99,Odisha
2146,babulmistri2,Odisha
2147,Chandan01156683,Bihar
2148,Pradipkumarbi11,Odisha
2153,Satya7008687739,Odisha
2156,padhi00,Odisha
2158,BarunsharmaDr,Bihar
2166,SatyaPr22784232,Odisha
2169,MDMUSTAQUIM16,Bihar
2171,PradyumnaTripa8,Odisha
2180,kondababu_9,Bihar
2181,its_Larence,Odisha
2184,Amit_kumarIYC,Odisha
2186,ManasAc95105929,Odisha
2187,ankit_singhai,Odisha
2188,SGuru_INC,Odisha
2189,ramanayak782,Odisha
2191,ASevadal,Bihar
2192,jitumohapatra3,Odisha
2198,itish_pradhan,Odisha
