,screen_name,state
1760,MLekhiOffice,To Be Added
1767,varunpuri1984,To Be Added
1768,goelgauravbjp,To Be Added
1782,BJPLive,To Be Added
1783,v_shrivsatish,To Be Added
1784,VHPsampark,To Be Added
1786,BJP_Manifesto,To Be Added
1787,sanghmobileapp,To Be Added
1789,kiranmgosavi,To Be Added
1791,iamnisheet07,To Be Added
1793,gorakshabvp,To Be Added
1794,Ramanvishen,To Be Added
1795,lalitrashtawadi,To Be Added
1796,biswashitesh,To Be Added
1797,AnandSwaroopMi3,To Be Added
1799,Jitendr34381015,To Be Added
1815,jualoram,Odisha
1816,pcsarangi,Odisha
1817,BJP4Odisha,Odisha
1828,DrLekhaShree,Odisha
1834,sureshkpujari,Odisha
1841,SajjanSharmabjp,Odisha
1843,basantpandabjp,Odisha
1862,MurliSharmaBJP,Odisha
1866,AshBiswal,Odisha
1871,bjmmpravati1,Odisha
1872,pinkyp_actor,Odisha
1877,balbirpunj,Odisha
1878,AcharyaPitamba1,Odisha
1882,BhruguBJP,Odisha
1884,tankadharsng,Odisha
1889,CSNandaBJP,Odisha
1894,abvpodisha,Odisha
1899,SrijimeS,Odisha
1900,ThakurRanjitDas,Odisha
1916,PrithivirajBJP,Odisha
1922,shishirgamang,Odisha
1935,prasantabjym,Odisha
1937,manasmitak,Odisha
1938,sikandarbjp,Odisha
1940,umakantpatnayak,Odisha
1945,bsethibjp,Odisha
1956,DilipMalick,Odisha
1959,BiswalAnil,Odisha
1964,harakhpura,Odisha
1972,baidhar1964,Odisha
1978,dkgochhayat,Odisha
1982,BishnuPrMishra,Odisha
1983,TheLaxmiS,Odisha
1986,irasisacharya,Odisha
1990,BJPOdishaLive,Odisha
1994,satyendrasuna1,Odisha
1997,ajayp2255,Odisha
1999,HKKhuntia,Odisha
2007,kdharmarajured4,Odisha
2010,AbhayaK57801837,Odisha
2013,sudiptarayjatni,Odisha
2015,ashoksahu53,Odisha
2018,BJYM4BBSR,Odisha
2020,radharani_panda,Odisha
2027,Dr_KC_Mohapatra,Odisha
2028,BjpPriyabrata,Odisha
2029,smarajitbjp,Odisha
2035,dashprabir,Odisha
2037,ShakuntalaKalo,Odisha
2038,odisha_skill,Odisha
2044,BadriDhalBJP,Odisha
2046,DeepakRanjanBi2,Odisha
2052,sunanda7711,Odisha
2056,surathbjp,Odisha
2059,ManmohanSamal,Odisha
2062,mangalam_sunny,Odisha
2063,naik_pradipta,Odisha
2065,Rashmirekha1984,Odisha
2071,IraniRay,Odisha
2072,AlokCuttack,Odisha
2073,swagatpadhi19,Odisha
2079,bjprupesh,Odisha
2083,chirachinmaya,Odisha
2084,roy_shibdas,Odisha
2088,PratyushaHSingh,Odisha
2090,BJP4Bhadrak,Odisha
2092,sanjulatapatel1,Odisha
2093,manashadv,Odisha
2095,GamangGiridhar,Odisha
2098,SibajiMohanty2,Odisha
2100,SBehera97,Odisha
2101,lalu_pundhara,Odisha
2116,gobindadasmla,Odisha
2117,BrahmaMahakur,Odisha
2119,BJP4Balangir,Odisha
2120,AjayPra68774099,Odisha
2127,PrasantPaika,Odisha
2130,shraban_sethy,Odisha
2132,Rkpradhan4,Odisha
2135,SangitaPanda12,Odisha
2140,NikunjabihariP4,Odisha
2141,SANJAYAKUMARJ11,Odisha
2142,prasantr2,Odisha
2144,nmprusty,Odisha
2149,dhirensenapaty,Odisha
2150,ItiSahoo,Odisha
2151,r_r_meher,Odisha
2152,BJP4Ghumusar,Odisha
2155,ChiranjibiNay14,Odisha
2159,SARKARSOUMYABJP,Odisha
2164,RamaTirtolMLA,Odisha
2165,julumgp,Odisha
2170,PandaRadharani,Odisha
2173,BirthareN,Odisha
2175,Shibaji_Odisha,Odisha
2177,NRajendraKumar3,Odisha
2179,Mohanta_Prasant,Odisha
2185,BJP4Malkangiri,Odisha
2190,BJP4Bonai,Odisha
2195,mihirpatel1103,Gujarat
2196,siddhant_dev29,Odisha
2201,AjMishra15,Odisha
2203,subarnpanda,Odisha
2205,TIKUBEHERA1,Odisha
2206,Deepakk75027883,Odisha
2207,BJP4Boudh,Odisha
2208,9078Subrat,Odisha
2210,DINESHS42387475,Odisha
2211,Abinash32608487,Odisha
2212,abvp_mainpuri,Odisha
2215,KumarChinu5,Odisha
2220,RickySnehasis,Odisha
2223,KetanBhoi10,Odisha
2227,ajayakumar_bjp,Odisha
2228,SashikantOdisha,Odisha
2232,sanjay_bhanja,Odisha
2234,MUKESHK39151789,Odisha
2238,nksbjppdrp2014,Odisha
2239,SureshBandha,Odisha
2241,ChinmayaswarupP,Odisha
2244,bjpmayurbhanj,Odisha
2245,MohantaJOGENDRA,Odisha
2247,jibandyuti,Odisha
2249,Janmeja71429728,Odisha
2250,bjp4angul2019,Odisha
2251,sahu_sanjay1,Odisha
2255,SANJAYK57075866,Odisha
2256,PadhiaryJayanti,Odisha
2266,avinashdash66,Odisha
2269,sassan19982006,Odisha
2273,Sidhantsuman95,Odisha
2274,Hemanta__Behera,Odisha
2275,ManasPr09930985,Odisha
2276,RadharaniPanda7,Odisha
2280,BpmMohapatra,Odisha
2283,BapiPra60087234,Odisha
2288,DevanandBJP,Odisha
2291,harmohan_behera,Odisha
2293,ManasSa47760983,Odisha
2300,ParsuramPatel4,Odisha
2302,rahulbjp7717,Odisha
2304,ShreyasDas17,Odisha
2306,Tapi_Das,Odisha
2307,RoulSanjeeb,Odisha
2312,SrikantKhuntia,Odisha
2313,behera980sudars,Odisha
2327,SwainJayanti,Overseas
2328,hssusa,Overseas
2329,OFBJPAus,Overseas
2332,SurendraBana8,Overseas
2344,DigamberE,Overseas
2351,DURGADASJI,Overseas
2356,RAAKMISRA,Overseas
